timestamp,supply_temp_c,return_temp_c
2024-03-01 00:00:00,7.119,11.67
2024-03-01 00:01:00,7.052,11.597
2024-03-01 00:02:00,6.97,11.654
2024-03-01 00:03:00,7.043,11.923
2024-03-01 00:04:00,6.965,11.493
2024-03-01 00:05:00,7.067,11.72
2024-03-01 00:06:00,6.989,11.43
2024-03-01 00:07:00,7.115,11.437
2024-03-01 00:08:00,7.121,11.726
2024-03-01 00:09:00,7.117,11.786
2024-03-01 00:10:00,7.052,11.848
2024-03-01 00:11:00,7.139,11.985
2024-03-01 00:12:00,6.904,11.509
2024-03-01 00:13:00,7.033,11.762
2024-03-01 00:14:00,7.318,11.572
2024-03-01 00:15:00,7.176,11.608
2024-03-01 00:16:00,7.019,11.99
2024-03-01 00:17:00,7.216,11.728
2024-03-01 00:18:00,6.854,11.482
2024-03-01 00:19:00,7.225,11.736
2024-03-01 00:20:00,,11.643
2024-03-01 00:21:00,6.876,11.55
2024-03-01 00:22:00,7.114,11.631
2024-03-01 00:23:00,7.05,11.586
2024-03-01 00:24:00,12.025,11.811
2024-03-01 00:25:00,,11.53
2024-03-01 00:26:00,7.038,11.842
2024-03-01 00:27:00,7.002,11.789
2024-03-01 00:28:00,6.874,11.827
2024-03-01 00:29:00,7.107,12.035
2024-03-01 00:30:00,7.282,11.789
2024-03-01 00:31:00,7.089,11.983
2024-03-01 00:32:00,7.261,11.93
2024-03-01 00:33:00,7.172,11.877
2024-03-01 00:34:00,7.253,11.716
2024-03-01 00:35:00,7.101,11.908
2024-03-01 00:36:00,7.049,11.532
2024-03-01 00:37:00,6.922,12.171
2024-03-01 00:38:00,6.976,11.916
2024-03-01 00:39:00,7.207,11.651
2024-03-01 00:40:00,7.423,11.761
2024-03-01 00:41:00,7.123,12.052
2024-03-01 00:42:00,7.066,12.209
2024-03-01 00:43:00,7.284,11.858
2024-03-01 00:44:00,7.289,11.819
2024-03-01 00:45:00,6.944,11.757
2024-03-01 00:46:00,7.184,11.943
2024-03-01 00:47:00,7.332,12.174
2024-03-01 00:48:00,6.93,12.02
2024-03-01 00:49:00,7.083,11.752
2024-03-01 00:50:00,7.007,12.207
2024-03-01 00:51:00,7.169,11.905
2024-03-01 00:52:00,7.338,11.632
2024-03-01 00:53:00,7.055,11.654
2024-03-01 00:54:00,,11.833
2024-03-01 00:55:00,7.33,12.127
2024-03-01 00:56:00,7.24,12.015
2024-03-01 00:57:00,7.327,11.988
2024-03-01 00:58:00,7.071,
2024-03-01 00:59:00,7.109,12.277
2024-03-01 01:00:00,,12.275
2024-03-01 01:01:00,6.914,12.022
2024-03-01 01:02:00,7.196,12.239
