timestamp,chiller1_power_kw,chiller2_power_kw
2024-03-01 00:00:00,148.5,135.7
2024-03-01 00:05:00,149.1,133.5
2024-03-01 00:10:00,147.8,141.5
2024-03-01 00:15:00,143.2,138.8
2024-03-01 00:20:00,148.3,140.7
2024-03-01 00:25:00,150.7,144.0
2024-03-01 00:30:00,151.9,147.3
2024-03-01 00:35:00,152.5,144.6
2024-03-01 00:40:00,155.4,147.6
2024-03-01 00:45:00,157.2,145.1
2024-03-01 00:50:00,162.1,146.8
2024-03-01 00:55:00,159.5,155.6
2024-03-01 01:00:00,162.2,151.0
2024-03-01 01:05:00,164.4,150.4
2024-03-01 01:10:00,159.5,152.4
2024-03-01 01:15:00,169.4,154.7
2024-03-01 01:20:00,165.8,154.3
2024-03-01 01:25:00,170.5,154.1
2024-03-01 01:30:00,174.8,152.3
2024-03-01 01:35:00,158.5,162.6
2024-03-01 01:40:00,172.2,156.3
2024-03-01 01:45:00,179.5,160.0
2024-03-01 01:50:00,179.6,162.6
2024-03-01 01:55:00,177.2,161.8
2024-03-01 02:00:00,173.7,165.2
2024-03-01 02:05:00,176.4,166.7
2024-03-01 02:10:00,174.6,162.9
2024-03-01 02:15:00,180.5,166.8
2024-03-01 02:20:00,178.8,165.8
2024-03-01 02:25:00,190.4,169.9
2024-03-01 02:30:00,185.8,174.4
2024-03-01 02:35:00,185.6,173.8
2024-03-01 02:40:00,185.7,183.1
2024-03-01 02:45:00,,166.1
2024-03-01 02:50:00,187.1,174.8
2024-03-01 02:55:00,192.8,175.1
2024-03-01 03:00:00,185.5,177.9
2024-03-01 03:05:00,192.8,184.8
2024-03-01 03:10:00,192.4,184.4
2024-03-01 03:15:00,192.4,180.5
2024-03-01 03:20:00,197.2,180.7
2024-03-01 03:25:00,200.1,186.2
2024-03-01 03:30:00,194.0,188.2
2024-03-01 03:35:00,193.3,188.6
2024-03-01 03:40:00,203.7,186.7
2024-03-01 03:45:00,197.3,188.0
2024-03-01 03:50:00,203.6,188.9
2024-03-01 03:55:00,200.4,196.8
2024-03-01 04:00:00,203.4,187.2
2024-03-01 04:05:00,210.4,195.5
2024-03-01 04:10:00,208.7,191.2
2024-03-01 04:15:00,208.8,203.2
2024-03-01 04:20:00,213.6,199.9
2024-03-01 04:25:00,211.8,194.9
2024-03-01 04:30:00,209.8,202.5
2024-03-01 04:35:00,222.6,198.9
