timestamp,supply_temp_c,return_temp_c,pump1_flow_m3h,pump2_flow_m3h,pump3_flow_m3h,chiller1_power_kw,chiller2_power_kw,AHU-03_FAULT,CHILLER-02_FAULT,PUMP-03_FAULT,cop_chiller1,cop_chiller2
2024-03-01 00:00:00,7.0298,11.6674,39.221,37.634,39.426,148.5,135.7,False,False,False,2.1082367379423865,2.3070976830099075
2024-03-01 00:05:00,7.081799999999999,11.619800000000001,39.916000000000004,38.041000000000004,39.704,149.1,133.5,False,False,False,2.0790415485878246,2.3219857295464017
2024-03-01 00:10:00,7.0892,11.7352,39.650999999999996,38.544,40.959,147.8,141.5,False,False,False,2.1744888391971133,2.271303536631331
2024-03-01 00:15:00,7.098000000000001,11.7088,40.025,38.771,40.315999999999995,143.2,138.8,False,False,False,2.226550597579143,2.297132893179634
2024-03-01 00:20:00,7.027299999999999,11.644200000000001,40.781,38.949,41.534000000000006,148.3,140.7,False,False,False,2.1917196031767445,2.3101067317065476
2024-03-01 00:25:00,7.012600000000001,11.804599999999999,40.141999999999996,39.198,41.589999999999996,150.7,144.0,False,False,False,2.2324482238442815,2.3363190787037027
2024-03-01 00:30:00,7.2114,11.859,40.589999999999996,39.711,41.783,151.9,147.3,False,False,False,2.1685702959841997,2.2362921110658514
2024-03-01 00:35:00,7.051,11.8356,40.551,40.065000000000005,41.9055,152.5,144.6,False,False,False,2.2316798014590162,2.3536042166147992
2024-03-01 00:40:00,7.237,11.9398,41.826,40.403,41.97,155.4,147.6,False,False,False,2.1820634733805235,2.2973757707542912
2024-03-01 00:45:00,7.0946,11.9292,41.94,40.601,43.179500000000004,157.2,145.1,False,False,False,2.244697851705188,2.431884922729535
2024-03-01 00:50:00,7.152299999999999,11.8462,41.396,40.076499999999996,43.0535,162.1,146.8,False,False,False,2.0934116732229757,2.311594224996215
2024-03-01 00:55:00,7.2154,12.1079,41.925,40.715999999999994,42.29,159.5,155.6,False,False,False,2.2247650253831415,2.280527130775136
2024-03-01 01:00:00,6.968500000000001,12.1842,42.722,41.015,43.511,162.2,151.0,False,False,False,2.375508036415947,2.551704658984547
2024-03-01 01:05:00,7.0926,12.0964,41.789,41.413,43.760000000000005,164.4,150.4,False,False,False,2.243446256089483,2.452277689502068
2024-03-01 01:10:00,7.299200000000001,11.7999,42.54600000000001,41.711,42.7735,159.5,152.4,False,False,False,2.0809956428448264,2.1779449149196184
2024-03-01 01:15:00,7.1472999999999995,11.988000000000001,43.1305,41.667,43.369,169.4,154.7,False,False,False,2.1262438590277783,2.328285130700101
2024-03-01 01:20:00,6.9632000000000005,12.0368,43.333,41.754000000000005,45.187,165.8,154.3,False,False,False,2.3143723491757133,2.4868628353424063
2024-03-01 01:25:00,7.243399999999999,12.154599999999999,43.654,41.931,44.568,170.5,154.1,False,False,False,2.1765126986379926,2.408146756117961
2024-03-01 01:30:00,7.054399999999999,12.0928,44.174,42.829,44.868,174.8,152.3,False,False,False,2.2067051057971017,2.532712097789451
2024-03-01 01:35:00,7.057900000000001,12.0722,44.283,42.858999999999995,45.12,158.5,162.6,False,False,False,2.429181237984577,2.367928820544622
2024-03-01 01:40:00,7.2642,12.1824,44.605000000000004,43.009,45.739999999999995,172.2,156.3,False,False,False,2.211173753794038,2.436110815120494
2024-03-01 01:45:00,7.219800000000001,12.279599999999999,44.888999999999996,43.063,45.3425,179.5,160.0,False,False,False,2.1813477842757645,2.447199545484373
2024-03-01 01:50:00,7.1914,12.148399999999999,45.11,43.524,45.354,179.6,162.6,False,False,False,2.146951711271962,2.3714177573459065
2024-03-01 01:55:00,7.253,12.2966,45.230000000000004,44.074,45.832,177.2,161.8,False,False,False,2.2330156334085776,2.445552350061804
2024-03-01 02:00:00,7.204000000000001,12.342400000000001,45.911,43.948,46.531,173.7,165.2,False,False,False,2.3423641109192106,2.462885266747378
2024-03-01 02:05:00,7.319599999999999,12.293700000000001,45.259,44.083,46.972500000000004,176.4,166.7,False,False,False,2.231525076846341,2.361373866560855
2024-03-01 02:10:00,7.1408000000000005,12.2958,44.886,44.774,46.870999999999995,174.6,162.9,False,False,False,2.340235088853888,2.508318272031239
2024-03-01 02:15:00,7.1531,12.2324,45.951,45.054500000000004,46.763999999999996,180.5,166.8,False,False,False,2.2507306534649123,2.4355928234437445
2024-03-01 02:20:00,7.106400000000001,12.401399999999999,46.738,45.062,47.5945,178.8,165.8,False,False,False,2.39655761243941,2.5844662310263358
2024-03-01 02:25:00,7.2188,12.414,46.839,45.233999999999995,47.394999999999996,190.4,169.9,False,False,False,2.2092948777777774,2.4758666552612643
2024-03-01 02:30:00,7.2022,12.3412,47.085,45.564,47.501999999999995,185.8,174.4,False,False,False,2.2504682708557584,2.3975745683772933
2024-03-01 02:35:00,7.345999999999999,12.4246,47.208000000000006,45.682,47.972500000000004,185.6,173.8,False,False,False,2.2377172703020234,2.389645140207454
2024-03-01 02:40:00,7.405799999999999,12.333400000000001,47.495999999999995,45.937,48.484,185.7,183.1,False,False,False,2.186259703865255,2.2173043528551495
2024-03-01 02:45:00,7.3604,12.421000000000001,47.955,46.327999999999996,48.153,185.7,166.1,False,False,False,2.2534797599832466,2.519393085062546
2024-03-01 02:50:00,7.3048,12.4426,47.116,46.428,49.313,187.1,174.8,False,False,False,2.277449301790486,2.4377046016304345
2024-03-01 02:55:00,7.456799999999999,12.554,48.431,47.12,49.658,192.8,175.1,False,False,False,2.2287531234612725,2.4540468429659246
2024-03-01 03:00:00,7.3894,12.473600000000001,48.077,47.077999999999996,49.15,185.5,177.9,False,False,False,2.2961691453878412,2.3942629368715265
2024-03-01 03:05:00,7.2794,12.4132,49.831,47.205,50.081,192.8,184.8,False,False,False,2.2742518760287003,2.3727043381944446
2024-03-01 03:10:00,7.339,12.807400000000001,49.204499999999996,47.466,49.495999999999995,192.4,184.4,False,False,False,2.4118308171257796,2.5164655597342733
2024-03-01 03:15:00,7.4452,12.860800000000001,49.063,47.91,50.494,192.4,180.5,False,False,False,2.4097952414934163,2.56866816877193
2024-03-01 03:20:00,7.377599999999999,12.6196,49.472,47.963,50.92100000000001,197.2,180.7,False,False,False,2.2894913478701833,2.4985483884892092
2024-03-01 03:25:00,7.4878,12.868,50.007,48.119,51.013999999999996,200.1,186.2,False,False,False,2.3280336616691657,2.5018235
2024-03-01 03:30:00,7.259399999999999,12.6834,49.577,48.516,50.349000000000004,194.0,188.2,False,False,False,2.4094534116838497,2.483708617782502
2024-03-01 03:35:00,7.353999999999999,12.8756,50.119,48.707,50.839999999999996,193.3,188.6,False,False,False,2.481989986641375,2.5438423351950044
2024-03-01 03:40:00,7.344800000000001,12.667,50.355000000000004,48.286,50.924,203.7,186.7,False,False,False,2.2686835513418417,2.4752589148812705
2024-03-01 03:45:00,7.3904,12.7148,50.885000000000005,48.873000000000005,52.076,197.3,188.0,False,False,False,2.3787916661936137,2.496465934787234
2024-03-01 03:50:00,7.3668000000000005,12.867,51.467999999999996,49.3725,51.956500000000005,203.6,188.9,False,False,False,2.3964000547724296,2.582885395191459
2024-03-01 03:55:00,7.442,12.657599999999999,51.21,49.816,51.513999999999996,200.4,196.8,False,False,False,2.3048044662896423,2.3469655235998186
2024-03-01 04:00:00,7.5074,12.7988,51.1,49.483,52.309000000000005,203.4,187.2,False,False,False,2.3091289784660765,2.5089574477564103
2024-03-01 04:05:00,7.359399999999999,12.894200000000001,51.674,49.435,52.547000000000004,210.4,195.5,False,False,False,2.3466564060414035,2.5255064339187276
